Key,brazilian
attperks,Vantagens
attPerksDesc,Categoria de vantagens
attPerksName,Vantagens
attRecipesDesc,Aqui você encontrará vantagens para desbloquear receitas para elaboração.
attRecipesName,Vantagens de artesanato
attskillsandatt,Atributos e Habilidades
attSkillsandAttDesc,Categoria para atributos e suas habilidades
attSkillsandAttName,Atributos e Habilidades
attStrengthRank1Desc,"Todo mundo quer ser fisiculturista, mas ninguém quer levantar pesos pesados."
attStrengthRank2Desc,Aumenta o dano corpo a corpo e de bloqueio em 5% Capacidade de carga aumentada em 4.
attStrengthRank3Desc,Aumenta o dano corpo a corpo e bloqueia em 10%
attStrengthRank4Desc,Aumenta o dano corpo a corpo e de bloqueio em 15% Capacidade de carga aumentada em 8.
attStrengthRank5Desc,Aumenta o dano corpo a corpo e bloqueia em 20%
attStrengthRank6Desc,Aumenta o dano corpo a corpo e de bloqueio em 25% Capacidade de carga aumentada em 12.
attStrengthRank7Desc,Aumenta o dano corpo a corpo e bloqueia em 30%
attStrengthRank8Desc,Aumenta o dano corpo a corpo e de bloqueio em 35% Capacidade de carga aumentada em 16.
attStrengthRank9Desc,Aumenta o dano corpo a corpo e bloqueia em 40%
atttechnology,Tecnologia
attTechnologyDesc,Tecnologia de ponta para as massas.
attTechnologyName,Melhorias Tecnológicas
augerTitaniumDesc,Versão muito mais durável e atualizada do sem-fim padrão. Usa gasolina como combustível.\n\nSucatas para passar.\nReparado com kits de reparo.
autoTurretSteelCased,Torre Automática (Aço)
autoTurretSteelCasedDesc,"Uma mangueira de bala com sensor de movimento. Não, sério, essa coisa come munição. Usa balas de aço de 9mm."
backpackLarge,Mochila Grande
backpackLargeDesc,Exclusivo para o sobrevivente. Contém a maior quantidade de itens de todas as mochilas.
backpackMedium,Mochila Média
backpackMediumDesc,"Feito com couro, tecido e fita adesiva. Contém mais itens do que a mochila pequena."
backpackSmall,Mochila pequena
backpackSmallDesc,"Muito básico. Basicamente, apenas um feixe de gravetos e fibras vegetais. Ajudará você a carregar alguns itens extras."
BaitedSnareCapturedDesc,Você pegou alguma coisa!
bakedAppleDesc,"Fácil de fazer, mais recheio que uma maçã normal e faz bem!"
bananaBreadDesc,Boa alternativa ao pão normal. É bom para você arrancar! 
BananaDesc,Boa fonte de potássio. Provavelmente uma boa ideia no apocalipse.
bananaPancakesDesc,Quem não gosta de panquecas no café da manhã?
BanditFactionSchematic,Mestre do disfarce
BanditFactionSchematicDesc,Leia isto para mudar para a facção de bandidos!
BatterDesc,Usado para jantares assados ​​(pudim de yorkshire) e panquecas.
batterybankSchematicDesc,Aprenda a criar um banco de baterias lendo este esquema.
beerSchematic,Degustação e fabricação de cerveja
beerSchematicDesc,Leia este livro para aprender a fazer cerveja.
bigforge,Grande Forja
BigForgeDesc,"Uma versão maior da forja normal. Usa os mesmos materiais, mas possui mais slots de entrada!"
blockcommand_callElevator,Chamar Elevador
blockcommand_search,Abrir
blockcommand_useElevator,Usar elevador
blueberryPancakesDesc,Quem não gosta de panquecas no café da manhã?
BMEngineWarning,[FF0000]Seu veículo engasga e morre sob a luz demoníaca da lua...[-]
bottleSapDesc,Seiva direto da árvore. Bom como bebida açucarada ou útil de outras formas.
bowlRiverWaterDesc,"Água turva nojenta, mas é o apocalipse. Você não pode ser exigente."
bowlSapDesc,Seiva direto da árvore. Bom como bebida açucarada ou útil de outras formas.
bowlWaterDesc,Uma tigela de água doce. Tão fresco quanto possível no apocalipse.
BreadDesc,Ótimo para fazer sanduíches e sempre deixa as pessoas com fome enquanto assa. Pode ser cortado em 8 fatias de pão.
btnGenerateWorld,GERAR MUNDO
bucketEmpty,Balde de Ferro
buffAnemia1Name,Anemia leve
buffAnemia2Name,Anemia Grave
buffAnemia3Name,Anemia Crônica
buffAnemia4Name,Parada cardíaca
buffAnimalClawDesc,Um animal rasgou sua armadura e suas roupas! Suas resistências a danos e sangramento foram temporariamente reduzidas durante este buff.
buffAnimalClawName,Ataque Animal!
buffAnimalClawTooltip,Um animal arrancou você!
buffAnimalPoison1Desc,"Um animal venenoso mordeu você em algum momento. Os kits de coleta de sangue podem curar você, mas o kit paramédico com certeza irá curá-lo."
buffAnimalPoison1Name,Veneno Animal
buffAnimalPoison1Tooltip,Você foi envenenado por um animal.
buffAntiradDesc,"Enquanto o medicamento anti-radiação estiver em seu sistema, você ficará temporariamente imune a outros efeitos da radiação, como se estivesse vestindo um traje anti-risco."
buffAntiradName,Medicação Anti-Radiação
buffAntiradTooltip,Você está temporariamente imune a mais radiação.
buffArmBrokenDesc,"Seu braço está quebrado, diminuindo o manuseio da arma, a velocidade de recarga e a velocidade de golpe. Um elenco irá acelerar a cura. Ataques de longo alcance ou de poder atrasarão a cura ou até mesmo machucarão você. Seu bem-estar foi permanentemente reduzido em 5."
buffArmBrokenTooltip,Seu braço está quebrado. Um elenco irá acelerar a cura.
buffArmCastDesc,"Seu braço está engessado, diminuindo a velocidade de manuseio, recarga e golpe da arma. Isso levará algum tempo para cicatrizar. Ataques de longo alcance ou de poder atrasarão a cura ou até mesmo machucarão você. Outros acertos críticos podem resultar em um braço quebrado."
buffArmSplintedDesc,"Seu braço está imobilizado, diminuindo a velocidade de manuseio, recarga e golpe da arma. Isso levará algum tempo para cicatrizar. Ataques de longo alcance ou de poder atrasarão a cura ou até mesmo machucarão você. Outros acertos críticos podem resultar em um braço quebrado."
buffArmSprainedDesc,"Seu braço está torcido, diminuindo a velocidade de manuseio, recarga e golpe da arma. Isso levará algum tempo para curar.\nAtaques de longo alcance ou de poder atrasarão a cura ou até mesmo machucarão você. Outros acertos críticos podem resultar em um braço quebrado."
buffAverageDrinkDesc,Você consumiu uma bebida de qualidade média. Sua saúde máxima será regenerada lentamente enquanto este buff estiver ativo.
buffAverageDrinkName,Bebida de qualidade média
buffAverageDrinkTooltip,Não é uma bebida ruim.
buffAverageFoodDesc,Você consumiu alguns alimentos de qualidade média. Sua saúde irá se regenerar lentamente enquanto este buff estiver ativo.
buffAverageFoodName,Alimentos de qualidade média
buffAverageFoodTooltip,Não é uma refeição de má qualidade.
buffBloodDrawKit01Desc,Você está fraco devido à perda de sangue e se cansará mais rápido. Uma alimentação saudável pode reduzir esse efeito.
buffBloodDrawKit01Tooltip,Você está fraco devido à perda de sangue e se cansará mais rápido. Uma alimentação saudável pode reduzir esse efeito.
buffBloodDrawKit04Tooltip,A perda de sangue levou à parada cardíaca.
buffDrugDiazepamDesc,"Esta droga acalma seus nervos e ajuda a estabilizar sua mira. Aumenta o dano de arcos, bestas e armas estilo rifle de precisão em 20%. Diminui o aumento do spread ao disparar essas armas em 25%."
buffDrugDiazepamName,Diazepam
buffDrugDiazepamTooltip,O tremor em suas mãos parece ter desaparecido
buffFatiguedDesc,Você está cansado e sofre 10% a mais de dano de todos os ataques. Coma vitaminas para curar isso. Seu bem-estar foi permanentemente reduzido em 3.
buffGoodDrinkDesc,Você consumiu uma bebida de boa qualidade. Sua saúde máxima será regenerada enquanto este buff estiver ativo.
buffGoodDrinkName,Bebida de boa qualidade
buffGoodDrinkTooltip,Essa foi uma bebida muito boa.
buffGoodFoodDesc,Você consumiu alimentos de boa qualidade. Sua saúde será regenerada enquanto este buff estiver ativo.
buffGoodFoodName,Comida de boa qualidade
buffGoodFoodTooltip,Essa foi uma refeição muito boa.
buffHazmatCompleteDesc,"Você está vestindo um traje completo contra materiais perigosos, que oferece proteção contra a maioria das formas de radiação.  Não protege contra a borda de radiação na borda do mapa."
buffHazmatCompleteName,Proteção contra materiais perigosos
buffHazmatCompleteTooltip,Você está protegido contra a maior parte da radiação.
buffIllFoodPoisoning01Desc,Você se sente mal do estômago.
buffIllFoodPoisoning01Name,Intoxicação Alimentar
buffInjuryAbrasionDesc,"Solavancos e hematomas são o tipo mais comum de lesão e cicatrizam com o tempo. Vantagens ou itens médicos como Creme de Aloe, Bandagens de Primeiros Socorros ou Kits de Primeiros Socorros aumentam a velocidade de cura. Seu bem-estar foi permanentemente reduzido em 3."
buffInjuryAbrasionTreatedDesc,Você tratou suas escoriações e agora elas estão cicatrizando mais rapidamente.
buffInjuryConcussionDesc,Você sofreu uma concussão e todos os atributos foram reduzidos em 1. Use analgésicos para curar isso. Seu bem-estar foi permanentemente reduzido em 5.
buffLacerationDesc,"Uma laceração profunda só pode ser tratada adequadamente com um kit de primeiros socorros ou kit de costura, mas um simples curativo irá estancar o sangramento. Seu bem-estar foi permanentemente reduzido em 5."
buffLegBrokenDesc,Sua perna quebrada está atrasando você. Um elenco irá acelerar a cura. Pular ou correr atrasará a cura ou até mesmo machucará você. Seu bem-estar foi permanentemente reduzido em 5.
buffLegBrokenTooltip,Sua perna está quebrada. Um elenco aceleraria a cura.
buffLegCastDesc,Sua perna está engessada e agora cicatrizará mais rápido. Pular ou correr atrasará a cura ou até mesmo machucará você. Outros acertos críticos podem resultar em uma perna quebrada.
buffLegSplintedDesc,Sua perna está imobilizada e precisa de tempo para cicatrizar. Pular ou correr atrasará a cura ou até mesmo machucará você. Outros acertos críticos podem resultar em uma perna quebrada.
buffLegSprainedDesc,Sua perna está torcida e você fica mais lento. Isso levará algum tempo para cicatrizar. Pular ou correr atrasará a cura ou até mesmo machucará você. Outros acertos críticos podem resultar em uma perna quebrada.
buffNearDeathTraumaDesc,Você levou uma pancada feia na cabeça que está bagunçando sua memória. Você esqueceu temporariamente algumas de suas habilidades
buffPowerArmorCompleteDesc,"Você está vestindo um conjunto completo de armadura de poder, que concede proteção contra a maioria das formas de radiação e fogo.  Não protege contra a borda de radiação na borda do mapa."
buffPowerArmorCompleteName,Armadura Potente
buffPowerArmorCompleteTooltip,Você está protegido contra a maioria das formas de radiação.
buffRadiationStrongDesc,Você recebeu uma dose de radiação forte!
buffRadiationStrongName,Radiação Forte
buffRadiationStrongTooltip,Você recebeu uma dose de radiação forte!
buffRadiationWeakDesc,Você recebeu uma dose de radiação!
buffRadiationWeakName,Radiação
buffRadiationWeakTooltip,Você recebeu uma dose de radiação!
buffRadResistDisplayDesc,Resistência total à radiação que você possui atualmente.
buffRadResistDisplayName,Resistência à radiação
buffRottenFoodDesc,Comida estragada faz mal ao seu estômago. Melhor esperar que passe.
buffRottenFoodName,Comida podre
buffRottenFoodTooltip,Eca! Aquela comida estava estragada!
buffSterileBandageDesc,Você foi curado por outro jogador.
buffSterileBandageName,Buff de Cura AOE
buffSterileBandageTooltip,Você foi curado por outro jogador.
buffTheAssassinDesc,Armas infames têm propriedades infames. Aumenta o dano do tiro na cabeça em 500%.
buffTheAssassinName,O Assassino
buffTheAssassinTooltip,Um tiro... Uma morte...
buffWatchTimeDesc,Você está usando um item de mod de relógio em suas luvas. Ele informa a hora.
buffWatchTimeName,Assistir
BVbillboard,Painel publicitário de veículos do Bdub
carLawnTractorDamaged2v01,Trator de gramado destruído (azul)
carLawnTractorDamaged2v02,Trator de gramado destruído (amarelo)
carLawnTractorDamaged2v04,Trator de gramado destruído (branco)
carLawnTractorDamaged2v05,Trator de gramado destruído (vermelho)
carLawnTractorDamaged2v06,Trator de gramado destruído (verde)
carLawnTractorDamaged2v07,Trator de gramado destruído (roxo)
carrotDesc,"Os coelhos gostam deles, então devem ser bons, certo?"
CCTVCam,Câmera CFTV
CCTVCamDesc,Usado para observar fora de sua base quando devidamente conectado a uma tela.
CCTVLinkTool,Ferramenta de link CCTV
CCTVLinkToolDesc,Ferramenta usada para vincular câmeras CCTV a telas CCTV.
CCTVScreen,Tela de CFTV
CCTVScreenDesc,Exibe imagens de uma câmera CCTV quando conectada corretamente.
chainsawTitaniumDesc,Uma ferramenta exclusiva para trabalhadores. Monte com outras peças para criar uma motosserra de titânio completa.\n\nRestos para passar a ferro.\nReparado com kits de reparo.
chickenCoopDesc,Coloque do lado de fora e espere os ovos eclodirem. Você deve abrir o galinheiro e colocar a ração para animais na abertura de comida para que funcione.
chickenNestDesc,Uma galinha deixou um presente para você.
ClassPaperCivilianDesc,Algumas pessoas adquiriram habilidades úteis para o apocalipse. Você? Você é uma lousa em branco.
ClassPaperDesc,Use este item para criar o item inicial para a classe que você deseja escolher.
ClassPaperFarmerDesc,"Antes do fim do mundo, você tinha um terreno e era bastante hábil no cultivo de várias plantas."
ClassPaperHunterDesc,Você sempre foi muito habilidoso com um rifle e perseguindo presas.
ClassPaperLaborerDesc,"Em uma vida anterior, você trabalhou na construção. As pessoas sempre precisam de construtores neste novo mundo."
ClassPaperMasterDesc,Use este item para criar o item inicial para a classe que você deseja escolher.
ClassPaperMechanicDesc,Qualquer coisa com motor era sua escolha. Poderia ser útil no novo mundo.
ClassPaperScientistDesc,"Muito do seu tempo costumava ser gasto no laboratório. Agora, todo esse conhecimento sobre produtos químicos pode mantê-lo vivo e saudável."
ClassPaperSecurityDesc,"Você era policial ou estava nas forças armadas. Não importa qual seja, você conhece bem armaduras e armas."
ClassPaperSurvivalistDesc,Você se preparou para este dia. Você adquiriu muitas habilidades que significam que pode sobreviver sem tecnologia moderna.
clubTitaniumDesc,"Como um taco de ferro, mas mais durável e causa mais danos.\n\nRestos no ferro.\nReparado com kits de reparo."
cncMachine,Torno
cntAdvancedDewCollector,Coletor de orvalho
cntAnimalFood,Armazenamento de alimentos para animais
cntAnimalFoodDesc,Caixa usada para armazenar alimentos para os animais comerem.
cntAnimalWater,Armazenamento de água animal
cntAnimalWaterDesc,Caixa usada para armazenar itens de água para os animais beberem.
cntBuriedChestT3,Suprimentos enterrados
cntBuriedChestT4,Suprimentos enterrados
cntBuriedChestT5,Suprimentos enterrados
cntCarLawnTractorDamaged0v01,Trator de gramado (azul)
cntCarLawnTractorDamaged0v02,Trator de gramado (amarelo)
cntCarLawnTractorDamaged0v04,Trator de gramado (branco)
cntCarLawnTractorDamaged0v05,Trator de gramado (vermelho)
cntCarLawnTractorDamaged0v06,Trator de gramado (verde)
cntCarLawnTractorDamaged0v07,Trator de gramado (roxo)
cntCarLawnTractorDamaged1v01,Trator de gramado danificado (azul)
cntCarLawnTractorDamaged1v02,Trator de gramado danificado (amarelo)
cntCarLawnTractorDamaged1v04,Trator de gramado danificado (branco)
cntCarLawnTractorDamaged1v05,Trator de gramado danificado (vermelho)
cntCarLawnTractorDamaged1v06,Trator de gramado danificado (verde)
cntCarLawnTractorDamaged1v07,Trator de gramado danificado (roxo)
cntChickennest,Ninho de Frango
cntChickennestDesc,Isso é necessário para que as galinhas ponham ovos.
CoconutDesc,Boa fonte de líquidos e alimentos.
coconutWaterDesc,Fonte incrível de hidratação e faz bem!
codeinePillsDesc,Muito mais forte que seus analgésicos convencionais. Exclusivo para a classe cientista.
coilBatteryBundleDesc,Um pacote de baterias de bobina para produzir munição de bobina em massa.
coilBatteryDesc,Baterias de bobina são usadas na fabricação de bobinas. Muito importante para armas de bobina.
